npsn,nama_sekolah,provinsi,kabupaten_kota,kecamatan,kelurahan,alamat
20109165,SMKN 61 JAKARTA,D.K.I. Jakarta,Kabupaten Administrasi Kep. Seribu,Kepulauan Seribu Selatan,Pulau Tidung,JALAN PANTAI SELATAN NO. 1 PULAU TIDUNG.
20100160,SMKN 19 JAKARTA,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Tanah Abang,Bendungan Hilir,JL. DANAU LIMBOTO NO. 11
20108509,SMK MUHAMMADIYAH 5,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Tanah Abang,Bendungan Hilir,JL. TAMAN BENDUNGAN JATILUHUR 18
20109319,SMK Dental Asisten Sekesal Jakarta,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Tanah Abang,Bendungan Hilir,JL.BENDUNGAN JATILUHUR NO.130
20100167,SMKN 38 JAKARTA,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Tanah Abang,Karet Tengsin,JL. KARET PASAR BARU TIMUR II
20100142,SMKS MUHAMMADIYAH 2 JAKARTA,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Tanah Abang,Kebon Melati,JL. KH. MAS MANSYUR NO. 65
20100151,SMK PGRI 31 JAKARTA,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Tanah Abang,Kebon Melati,Jl.Sabeni No 12
20100132,SMK KRISTEN BETHEL,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Tanah Abang,Petamburan,JL. KS TUBUN N0. 253 TANAH ABANG
20100118,SMKS SAID NAUM,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Tanah Abang,Kebon Kacang,JL. KH. MAS MANSYUR  NO.25
20100140,SMK AL-IHSAN,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Tanah Abang,Kebon Kacang,JL. KEBON KACANG IX/57
20100159,SMKN 16 JAKARTA,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Menteng,Menteng,JL. TAMAN AMIR HAMZAH MENTENG
20100286,SMKS YAPERMAS JAKARTA,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Menteng,Menteng,JL. ANYER NO. 7
20108510,SMK JAYAWISATA 1,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Menteng,Menteng,JL. TAMAN SUNDA KELAPA NO. 16 A
20100295,SMK TAMAN SISWA 3,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Menteng,Pegangsaan,JL. MATRAMAN DALAM II/13
20100306,SMKS AL MAKMUR,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Menteng,Cikini,JL. RADEN SALEH
20100300,SMK SANTA THERESIA,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Menteng,Gondangdia,Jl. Gereja Theresia No. 4
20100110,SMK KATOLIK SINT JOSEPH,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Senen,Kenari,JL. KRAMAT RAYA NO. 134
20100166,SMKN 34 JAKARTA,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Senen,Paseban,JL. KRAMAT RAYA NO. 93
20107255,SMKS FARMASI TUNAS BANGSA,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Senen,Paseban,SALEMBA TENGAH II NO.1
20100139,SMKS FRANCISKUS 2,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Senen,Kramat,JL. KRAMAT RAYA
20100116,SMKS MUHAMMADIYAH 10 JAKARTA,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Senen,Senen,JL. KRAMAT SAWAH BARU
20100282,SMKS PSKD 1 JAKARTA,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Senen,Senen,JL. Prajurit KKO Usman & Harun No. 26
20107254,SMK DITKESAD,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Senen,Senen,JL. DR. ABDULRAHMAN SALEH NO 18
20100105,SMKS KAMPUNG JAWA JAKARTA,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Johar Baru,Johar Baru,JL. PERCETAKAN NEGARA II
20100158,SMKN 14 JAKARTA,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Johar Baru,Johar Baru,JL. PERCETAKAN NEGARA II A
20100165,SMKN 31 JAKARTA,D.K.I. Jakarta,Kota Administrasi Jakarta Pusat,Johar Baru,Johar Baru,JL. KRAMAT JAYA BARU BLOK DII
